,tweet_id,in_reply_to_status_id,in_reply_to_user_id,timestamp,source,text,expanded_urls,rating_numerator,rating_denominator,name,dog_cat,tweet_month,tweet_year,tweet_day,tweet_Hour
0,892420643555336193,,,2017-08-01 16:23:56,"""http://twitter.com/download/iphone""",This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,https://twitter.com/dog_rates/status/892420643555336193/photo/1,13,10,Phineas,doggo,8,2017,1,16
1,892177421306343426,,,2017-08-01 00:17:27,"""http://twitter.com/download/iphone""","This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",https://twitter.com/dog_rates/status/892177421306343426/photo/1,13,10,Tilly,doggo,8,2017,1,0
2,891815181378084864,,,2017-07-31 00:18:03,"""http://twitter.com/download/iphone""",This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,https://twitter.com/dog_rates/status/891815181378084864/photo/1,12,10,Archie,doggo,7,2017,31,0
3,891689557279858688,,,2017-07-30 15:58:51,"""http://twitter.com/download/iphone""",This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,https://twitter.com/dog_rates/status/891689557279858688/photo/1,13,10,Darla,doggo,7,2017,30,15
4,891327558926688256,,,2017-07-29 16:00:24,"""http://twitter.com/download/iphone""","This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f","https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",12,10,Franklin,doggo,7,2017,29,16
5,891087950875897856,,,2017-07-29 00:08:17,"""http://twitter.com/download/iphone""",Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,https://twitter.com/dog_rates/status/891087950875897856/photo/1,13,10,None,doggo,7,2017,29,0
6,890971913173991426,,,2017-07-28 16:27:12,"""http://twitter.com/download/iphone""","Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl","https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1",13,10,Jax,doggo,7,2017,28,16
7,890729181411237888,,,2017-07-28 00:22:40,"""http://twitter.com/download/iphone""",When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",13,10,None,doggo,7,2017,28,0
8,890609185150312448,,,2017-07-27 16:25:51,"""http://twitter.com/download/iphone""",This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,https://twitter.com/dog_rates/status/890609185150312448/photo/1,13,10,Zoey,doggo,7,2017,27,16
9,890240255349198849,,,2017-07-26 15:59:51,"""http://twitter.com/download/iphone""",This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,https://twitter.com/dog_rates/status/890240255349198849/photo/1,14,10,Cassie,doggo,7,2017,26,15
10,890006608113172480,,,2017-07-26 00:31:25,"""http://twitter.com/download/iphone""",This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,"https://twitter.com/dog_rates/status/890006608113172480/photo/1,https://twitter.com/dog_rates/status/890006608113172480/photo/1",13,10,Koda,doggo,7,2017,26,0
11,889880896479866881,,,2017-07-25 16:11:53,"""http://twitter.com/download/iphone""",This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,https://twitter.com/dog_rates/status/889880896479866881/photo/1,13,10,Bruno,doggo,7,2017,25,16
12,889665388333682689,,,2017-07-25 01:55:32,"""http://twitter.com/download/iphone""",Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,https://twitter.com/dog_rates/status/889665388333682689/photo/1,13,10,None,doggo,7,2017,25,1
13,889638837579907072,,,2017-07-25 00:10:02,"""http://twitter.com/download/iphone""",This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,"https://twitter.com/dog_rates/status/889638837579907072/photo/1,https://twitter.com/dog_rates/status/889638837579907072/photo/1",12,10,Ted,doggo,7,2017,25,0
14,889531135344209921,,,2017-07-24 17:02:04,"""http://twitter.com/download/iphone""",This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,https://twitter.com/dog_rates/status/889531135344209921/photo/1,13,10,Stuart,doggo,7,2017,24,17
15,889278841981685760,,,2017-07-24 00:19:32,"""http://twitter.com/download/iphone""",This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,https://twitter.com/dog_rates/status/889278841981685760/video/1,13,10,Oliver,doggo,7,2017,24,0
16,888917238123831296,,,2017-07-23 00:22:39,"""http://twitter.com/download/iphone""",This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,https://twitter.com/dog_rates/status/888917238123831296/photo/1,12,10,Jim,doggo,7,2017,23,0
